Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
,473.5,0,0,0,0,473.5,1
Clete Thomas,234.5,0,63.5,275.0,0,191.0,3
Norris Hopper,0,0,70.5,0,0,70.5,1
Alan Ahmady,0,0,67.0,0,0,67.0,1
Ramon Castillo,0,0,76.5,0,0,76.5,1
Dionys Cesar,0,0,60.5,0,0,60.5,1
Steve Souza,0,0,57.5,362.5,0,210.0,2
Deivy Batista,0,0,53.5,0,0,53.5,1
Matt Antonelli,178.0,0,70.5,234.0,0,160.83333333333334,3
Marcus Thames,0,0,78.0,231.5,0,154.75,2
Mitchell Levier,0,0,56.0,0,0,56.0,1
Miguel Jimenez,0,0,44.5,0,0,44.5,1
Enrique Trujillo,0,0,52.0,0,0,52.0,1
Jovan Pickett,0,0,55.0,0,0,55.0,1
Cord Phelps,441.0,0,73.5,448.0,0,320.8333333333333,3
Shamil Ubiera,0,0,48.5,0,0,48.5,1
Anthony Bryant,0,0,43.0,162.0,0,102.5,2
Dreily Guerrero,0,0,48.5,226.5,0,137.5,2
Jeffrey Farnham,0,0,66.5,187.0,0,126.75,2
Chase Headley,550.5,649.5,553.0,553.0,562.0,573.6,5
Luis Hernandez,330.5,0,70.5,402.0,0,267.6666666666667,3
Jason Repko,180.0,0,70.0,247.0,0,165.66666666666666,3
Wallace Gonzalez,0,0,0,136.0,0,136.0,1
Jerry Sands,434.0,0,192.5,483.0,96.0,301.375,4
Franny Polanco,0,0,47.5,0,0,47.5,1
Roberto De La Cruz,0,0,47.0,211.0,0,129.0,2
Jed Lowrie,274.0,441.5,326.5,342.0,535.0,383.8,5
Charles Moorman,0,0,0,131.0,0,131.0,1
Gregory Pena,0,0,49.0,248.5,0,148.75,2
Daniel Petitti,0,0,42.0,184.0,0,113.0,2
Mike Flacco,0,0,67.0,318.0,0,192.5,2
Royce Bolinger,0,0,54.0,290.0,0,172.0,2
Robert Haney,0,0,56.5,237.0,0,146.75,2
Christopher Mcfarland,0,0,42.5,230.0,0,136.25,2
Mike Napoli,377.0,496.0,374.0,415.5,524.5,437.4,5
Cody Grice,0,0,49.0,247.5,0,148.25,2
Marcos Derkes,0,0,56.0,0,0,56.0,1
Ramon Santiago,196.5,0,136.0,284.5,199.5,204.125,4
Fausto Mier,0,0,68.5,0,0,68.5,1
Jacob Wilson,0,0,49.0,301.0,0,175.0,2
Miguel Perez,0,0,0,159.5,0,159.5,1
Jayson Langfels,0,0,61.0,250.0,0,155.5,2
Jose Castaneda,0,0,56.0,0,0,56.0,1
Francisco Herrera,0,0,51.5,170.5,0,111.0,2
Michael Bertram,0,0,65.5,0,0,65.5,1
Matt Davidson,465.5,0,73.5,449.0,0,329.3333333333333,3
Jarred Bogany,0,0,51.5,0,0,51.5,1
Carlos Corporan,129.5,0,80.5,304.0,114.5,157.125,4
Brett Eibner,0,0,50.0,274.5,0,162.25,2
Agustin Murillo,0,0,71.5,0,0,71.5,1
Hernando Arredondo,0,0,67.0,0,0,67.0,1
Kyle Eveland,0,0,47.5,0,0,47.5,1
Mike Cameron,0,0,75.5,236.0,0,155.75,2
Tug Hulett,272.0,0,72.0,0,0,172.0,2
Andre Ethier,515.5,566.0,440.0,516.5,539.5,515.5,5
Adam Melker,0,0,68.5,303.5,0,186.0,2
Jody Gerut,0,0,0,309.0,0,309.0,1
Diogenes Luis,0,0,49.0,0,0,49.0,1
Jim Adduci,0,0,70.0,323.0,0,196.5,2
Michael Planeta,0,0,50.5,264.5,0,157.5,2
Kenny Hart,0,0,50.0,0,0,50.0,1
Saxon Butler,0,0,58.0,282.5,0,170.25,2
Luke Guarnaccia,0,0,0,138.0,0,138.0,1
Jarrod Dyson,313.0,283.0,162.5,362.0,250.5,274.2,5
Seth Conner,0,0,48.0,223.0,0,135.5,2
David Cook,0,0,65.5,0,0,65.5,1
Mike Fontenot,163.0,0,75.5,252.0,0,163.5,3
Stephen Carmon,0,0,57.5,241.5,0,149.5,2
Paul Goldschmidt,571.0,661.5,567.0,558.0,578.5,587.2,5
Justin Sellers,231.0,0,68.0,300.0,0,199.66666666666666,3
Nelson Rodriguez,0,0,0,144.5,0,144.5,1
Nicoll Parra,0,0,46.0,0,0,46.0,1
Wilberto Ortiz,0,0,64.0,0,0,64.0,1
Ivan Araujo,0,0,64.0,0,0,64.0,1
Drew Butera,130.5,0,60.5,216.5,140.5,137.0,4
Leonardo Rodriguez,0,0,52.0,0,0,52.0,1
L.J. Hoes,491.5,0,75.5,436.5,0,334.5,3
Matt Tuiasosopo,307.5,0,63.0,322.0,0,230.83333333333334,3
Tommy Manzella,240.0,0,55.5,243.0,0,179.5,3
Billy Nowlin,0,0,72.5,0,0,72.5,1
Miguel Sanchez,0,0,44.0,196.5,0,120.25,2
Yeison Hernandez,0,0,55.5,0,0,55.5,1
Jason Stolz,0,0,49.5,210.0,0,129.75,2
Kyeong Kang,231.5,0,63.0,298.5,0,197.66666666666666,3
Marcell Ozuna,461.0,0,62.5,444.0,0,322.5,3
Jordan Schafer,258.5,139.0,64.0,328.5,94.5,176.9,5
Zack Cox,375.5,0,116.5,363.0,0,285.0,3
Paul Konerko,532.0,590.0,505.0,539.0,604.5,554.1,5
Ruben Gotay,303.0,0,65.5,0,0,184.25,2
Cory Aldridge,0,0,71.5,0,0,71.5,1
Kyle Robinson,0,0,50.0,236.5,0,143.25,2
Nomar Mazara,0,0,41.0,161.5,0,101.25,2
Bryan LaHair,407.0,118.5,81.0,469.5,0,269.0,4
