Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Wilfredo Boscan,192,0,103,261,0,185.33333333333334,3
Adys Portillo,207,0,101,208,0,172.0,3
Adam Conley,297,0,134,245,0,225.33333333333334,3
Hua-Wei Lo,0,0,86,79,0,82.5,2
Garrett Olson,171,0,84,0,0,127.5,2
Colin Rodgers,0,0,83,0,0,83.0,1
Rob Musgrave,0,0,106,0,0,106.0,1
Scott Dececco,0,0,87,168,0,127.5,2
Austin Brice,0,0,113,0,0,113.0,1
Owen Jones,0,0,0,127,0,127.0,1
Jason Gurka,0,0,61,117,0,89.0,2
Kevin Jacob,0,0,60,0,0,60.0,1
Joe Van Meter,0,0,57,140,0,98.5,2
Stephen Peterson,0,0,61,65,0,63.0,2
Keaton Hayenga,0,0,81,0,0,81.0,1
Logan Ondrusek,148,0,84,140,138,127.5,4
Alexi Ogando,400,467,310,274,416,373.4,5
Jason Motte,200,500,433,201,449,356.6,5
Luis Hernandez,0,0,60,0,0,60.0,1
Zachary Grimmett,0,0,89,0,0,89.0,1
Chris Manno,0,0,84,106,0,95.0,2
Juan Oramas,0,0,122,0,0,122.0,1
Mike Kenney,0,0,55,0,0,55.0,1
Brian Duensing,259,0,135,337,293,256.0,4
Manuel Soliman,0,0,92,125,0,108.5,2
Joe Rogers,0,0,0,100,0,100.0,1
Jonathan Vargas,0,0,112,0,0,112.0,1
Rubby de la Rosa,148,0,151,147,158,151.0,4
Tzu-Kai Chiu,0,0,77,0,0,77.0,1
Jose Brazoban,0,0,55,0,0,55.0,1
Brett Oberholtzer,286,0,95,342,0,241.0,3
Ty Kelley,0,0,60,88,0,74.0,2
Shawn Sanford,0,0,92,224,0,158.0,2
Luke Jackson,0,0,111,224,0,167.5,2
Lino Martinez,0,0,84,137,0,110.5,2
Matt Thompson,0,0,0,115,0,115.0,1
Andrew Suiter,0,0,63,0,0,63.0,1
Pedro Silvestre,0,0,100,55,0,77.5,2
Adam Warren,254,0,95,328,0,225.66666666666666,3
Thomas Chism,0,0,76,80,0,78.0,2
Kyle Morrison,0,0,76,0,0,76.0,1
Tyler Stohr,0,0,57,62,0,59.5,2
James Avery,0,0,84,0,0,84.0,1
Michael Bolsinger,0,0,60,183,0,121.5,2
Daniel Cropper,0,0,76,165,0,120.5,2
Jared Wells,0,0,63,0,0,63.0,1
Baudilio Lopez,0,0,49,0,0,49.0,1
Kevin Gausman,0,0,0,241,0,241.0,1
Enrique Gonzalez,0,0,81,0,0,81.0,1
Steve Cishek,197,428,358,203,342,305.6,5
Seth Garrison,0,0,58,0,0,58.0,1
Gabe Dehoyos,0,0,72,0,0,72.0,1
Kevin Vance,0,0,58,162,0,110.0,2
Zack Greinke,590,619,543,618,570,588.0,5
Matt Meyer,73,0,61,0,0,67.0,2
Taylor Rogers,0,0,87,208,0,147.5,2
Chris Petrini,0,0,60,171,0,115.5,2
Wade Korpi,0,0,78,0,0,78.0,1
Chris Hernandez,235,0,0,0,0,235.0,1
Jamie Moyer,119,0,115,0,0,117.0,2
Kanekoa Texeira,94,0,55,98,0,82.33333333333333,3
Zack Dodson,0,0,96,155,0,125.5,2
Enny Romero,221,0,98,238,0,185.66666666666666,3
Robert Hinton,139,0,76,0,0,107.5,2
Scott Gracey,0,0,60,137,0,98.5,2
Justin Cassel,0,0,52,0,0,52.0,1
Josh Stinson,248,0,101,264,147,190.0,4
Ryan Sherriff,0,0,87,145,0,116.0,2
Justice French,0,0,82,174,0,128.0,2
Freddy Alvarez,0,0,76,0,0,76.0,1
Sean Marshall,245,210,168,212,231,213.2,5
Charles Riefenhauser,0,0,80,233,0,156.5,2
Jose Cisnero,283,0,102,312,0,232.33333333333334,3
Dan Otero,136,0,76,150,0,120.66666666666667,3
Corey Williams,0,0,91,94,0,92.5,2
Murillo Gouvea,0,0,66,137,0,101.5,2
Trystan Magnuson,0,0,78,135,0,106.5,2
Daury Vasquez,0,0,0,73,0,73.0,1
Jake Hermsen,0,0,0,145,0,145.0,1
Ted Lilly,279,0,262,347,189,269.25,4
Raul Valdes,169,0,88,187,138,145.5,4
LaTroy Hawkins,89,0,78,95,113,93.75,4
Ryan Merritt,0,0,84,80,0,82.0,2
Matt Ramsey,0,0,0,37,0,37.0,1
Matt Hoffman,0,0,61,129,0,95.0,2
Pat Dean,0,0,89,197,0,143.0,2
Tyler Matzek,267,0,113,225,0,201.66666666666666,3
Neil Schenk,0,0,57,137,0,97.0,2
Yorman Landa,0,0,0,55,0,55.0,1
Chad Pierce,0,0,93,218,0,155.5,2
Alejandro Chacin,0,0,0,51,0,51.0,1
Michael Jarman,0,0,62,0,0,62.0,1
Steven Ewing,0,0,76,0,0,76.0,1
Justin Souza,0,0,51,119,0,85.0,2
Carlos Pinales,0,0,0,77,0,77.0,1
Emiliano Fruto,0,0,0,139,0,139.0,1
Juan Abreu,139,0,90,133,0,120.66666666666667,3
Matt Andriese,0,0,116,298,0,207.0,2
Nick Lee,0,0,95,87,0,91.0,2
John Ely,320,0,128,413,126,246.75,4
Mike Drowne,0,0,61,0,0,61.0,1
Gabriel Saquilon,0,0,0,60,0,60.0,1
Andrew Dobies,0,0,58,0,0,58.0,1
Jose Martinez,0,0,92,0,0,92.0,1
Andrew Granier,0,0,96,317,0,206.5,2
Matt Lollis,0,0,107,208,0,157.5,2
Mike Rayl,0,0,86,123,0,104.5,2
Jose Valdez,103,0,81,40,0,74.66666666666667,3
Enrico Jimenez,0,0,58,0,0,58.0,1
Edgar Martinez,0,0,55,0,0,55.0,1
Bobby Shore,0,0,96,168,0,132.0,2
Frank Garces,0,0,102,263,0,182.5,2
Andrew Carraway,228,0,95,309,0,210.66666666666666,3
Tim Crabbe,0,0,107,296,0,201.5,2
Chris Narveson,215,281,181,238,232,229.4,5
Clay Zavada,0,0,78,0,0,78.0,1
Tyler Robertson,151,0,82,215,125,143.25,4
Armando Paniagua,0,0,75,47,0,61.0,2
Arthur Rhodes,0,0,84,97,0,90.5,2
David Hurlbut,0,0,85,175,0,130.0,2
Oscar Villarreal,0,0,57,88,0,72.5,2
Jordan Conley,0,0,76,0,0,76.0,1
Rigoberto Garcia,0,0,89,109,0,99.0,2
Edwin Quirarte,0,0,65,109,0,87.0,2
Jeff Soptic,0,0,57,0,0,57.0,1
Alan Williams,0,0,79,91,0,85.0,2
Ivan Nova,394,437,331,453,490,421.0,5
Charlie Rosario,0,0,58,128,0,93.0,2
Peter Tago,0,0,96,110,0,103.0,2
James Nygren,0,0,55,0,0,55.0,1
Allen Caldwell,0,0,0,89,0,89.0,1
Chorye Spoone,139,0,100,173,0,137.33333333333334,3
Andy Loomis,0,0,78,122,0,100.0,2
Mark Hendrickson,88,0,76,138,0,100.66666666666667,3
Ramon Ortiz,196,0,82,285,0,187.66666666666666,3
Matt Nevarez,0,0,63,51,0,57.0,2
Greg Gonzalez,0,0,120,184,0,152.0,2
Juan Cedeno,0,0,60,143,0,101.5,2
Agapito Barrios,0,0,84,84,0,84.0,2
Casey Daigle,0,0,76,0,0,76.0,1
Jeff Suppan,117,0,53,164,0,111.33333333333333,3
Egan Smith,0,0,85,210,0,147.5,2
Tyler Clark,0,0,63,98,0,80.5,2
Sean Donatello,0,0,57,0,0,57.0,1
Raudel Lazo,0,0,84,0,0,84.0,1
Mark Lowe,107,0,94,99,155,113.75,4
Tyler Herr,0,0,75,53,0,64.0,2
Matthew Talley,0,0,107,0,0,107.0,1
Josh Warner,0,0,87,137,0,112.0,2
Tyler Lyons,259,0,120,299,0,226.0,3
Jonathon Keck,0,0,58,117,0,87.5,2
Rick Zagone,0,0,78,263,0,170.5,2
Justin Friend,129,0,84,129,0,114.0,3
Jensen Lewis,104,0,78,102,0,94.66666666666667,3
Jake Boyd,0,0,0,87,0,87.0,1
Nate Jones,202,0,135,205,145,171.75,4
Casey Janssen,176,375,310,180,189,246.0,5
Casey Selsor,0,0,0,177,0,177.0,1
Andrew Mckirahan,0,0,0,47,0,47.0,1
Wimbert Martinez,0,0,60,0,0,60.0,1
Matt Ott,0,0,60,130,0,95.0,2
Tim Lahey,0,0,60,0,0,60.0,1
Brad Thomas,0,0,81,0,0,81.0,1
Justin Freeman,136,0,85,140,0,120.33333333333333,3
Wesley Alsup,0,0,61,52,0,56.5,2
