"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"Miguel Cabrera","Hitter",744.5,819.5,759,732,782,767.4,5,,"mine",,,,
"Ryan Braun","Hitter",745,799.5,701.5,671,747,732.8,5,,,,,,
"Mike Trout","Hitter",723.5,774.5,701.5,665.5,740.5,721.1,5,,,,,,
"Albert Pujols","Hitter",670,744.5,724,685.5,711,707,5,,,,,,
"Robinson Cano","Hitter",706.5,747,655,641,766.5,703.2,5,,,,,,
"Prince Fielder","Hitter",657,758,671,666,741.5,698.7,5,,,,,,
"Justin Verlander","Pitcher",679,725,622,750,679,691,5,,,,,,
"Clayton Kershaw","Pitcher",705,702,608,764,651,686,5,,,,,,
"Joey Votto","Hitter",614,775,636.5,610.5,750.5,677.3,5,,,,,,
"Andrew McCutchen","Hitter",668,727,662,638.5,690,677.1,5,,,,,,
"Billy Butler","Hitter",630.5,721,641.5,631.5,694.5,663.8,5,,"mine",,,,
"Felix Hernandez","Pitcher",642,671,582,737,630,652.4,5,,"mine",,,,
"Yu Darvish","Pitcher",662,691,584,665,626,645.6,5,,,,,,
"Matt Kemp","Hitter",628,699.5,613.5,593.5,681,643.1,5,,,,,,
"Giancarlo Stanton","Hitter",622.5,697.5,635.5,625.5,624.5,641.1,5,,,,,,
"Adrian Gonzalez","Hitter",632.5,671,631.5,629,625.5,637.9,5,,,,,,
"Cole Hamels","Pitcher",605,682,581,672,621,632.2,5,,,,,,
"David Price","Pitcher",623,670,571,667,625,631.2,5,,,,,,
"Cliff Lee","Pitcher",587,655,593,685,621,628.2,5,,,,,,
"Ian Kinsler","Hitter",602.5,652.5,627,568.5,655.5,621.2,5,,,,,,
"Jose Reyes","Hitter",602.5,652.5,620,605.5,623,620.7,5,,,,,,
"Starlin Castro","Hitter",643.5,669.5,603.5,601.5,581,619.8,5,,,,,,
"Dustin Pedroia","Hitter",587,690,629.5,547.5,628.5,616.5,5,,,,,,
"Justin Upton","Hitter",585,687,643,571.5,593.5,616,5,,,,,,
"Adam Jones","Hitter",610,665.5,616,549,636.5,615.4,5,,,,,,
"Bryce Harper","Hitter",604,703,593,521.5,645.5,613.4,5,,,,,,
"Adrian Beltre","Hitter",588,660.5,590.5,596,625,612,5,,"mine",,,,
"Anthony Rizzo","Hitter",637.5,642,609,562,609.5,612,5,,,,,,
"Jose Altuve","Hitter",585.5,624,591,655,591,609.3,5,,,,,,
"Ben Zobrist","Hitter",581,649,592,571,653,609.2,5,,,,,,
"Gio Gonzalez","Pitcher",635,630,524,620,636,609,5,,,,,,
"Matt Holliday","Hitter",584.5,672,594,564.5,628.5,608.7,5,,,,,,
"Jose Bautista","Hitter",530,667.5,578.5,569,692,607.4,5,,,,,,
"David Wright","Hitter",572.5,675.5,590.5,572,608,603.7,5,,,,,,
"Freddie Freeman","Hitter",611.5,641,568,564,633,603.5,5,,,,,,
"Nick Markakis","Hitter",548.5,672,621.5,540,634.5,603.3,5,,,,,,
"Jay Bruce","Hitter",597.5,643.5,566,571.5,627.5,601.2,5,,"mine",,,,
"Alex Gordon","Hitter",568.5,698,596,567,576,601.1,5,,"mine",,,,
"CC Sabathia","Pitcher",578,641,550,668,555,598.4,5,,,,,,
"Martin Prado","Hitter",606,645,589,550.5,590.5,596.2,5,,,,,,
"Jason Heyward","Hitter",549.5,682,622,540,585.5,595.8,5,,,,,,
"Yovani Gallardo","Pitcher",582,620,503,633,617,591,5,,,,,,
"James Shields","Pitcher",552,629,535,644,589,589.8,5,,,,,,
"Matt Cain","Pitcher",568,607,537,633,602,589.4,5,,,,,,
"Zack Greinke","Pitcher",590,619,543,618,570,588,5,,,,,,
"Paul Goldschmidt","Hitter",571,661.5,567,558,578.5,587.2,5,,,,,,
"Melky Cabrera","Hitter",620.5,625.5,553,536,596,586.2,5,,,,,,560
"Eric Hosmer","Hitter",589.5,641.5,546.5,576,576.5,586,5,,"mine",,,,
"Elvis Andrus","Hitter",564,633.5,572,550,607,585.3,5,,,,,,
"Max Scherzer","Pitcher",560,645,520,580,616,584.2,5,,,,,,
"Edwin Encarnacion","Hitter",533.5,633,535.5,552,656,582,5,,,,,,
"Madison Bumgarner","Pitcher",606,612,539,586,564,581.4,5,,,,,,
"Brandon Phillips","Hitter",588,625,572.5,540.5,580,581.2,5,,,,,,
"Evan Longoria","Hitter",519.5,641,567.5,513,657,579.6,5,,,,,,
"Buster Posey","Hitter",577,627.5,532.5,499,653.5,577.9,5,,,,,,
"Norichika Aoki","Hitter",549,640,591.5,547,551.5,575.8,5,,,,,,
"Chase Headley","Hitter",550.5,649.5,553,553,562,573.6,5,,,,,,
"Aaron Hill","Hitter",571,623,569,522,582.5,573.5,5,,"mine",,,,
